ID;Title;Chunk;Description;Source
1;State Affiliated Media Advertisers;State-affiliated media are media organizations whose editorial output or decision-making process is subject to control by a government. We label the accounts and video of media entities that we know to be subject to editorial control by state institutions. We determine whether an organization is subjected to editorial control or influence by a government based on evidence collected by independent external experts. For more information on this process, visit ourTransparency Centerand readLabelling state-affiliated media entities. State-affiliated media accounts are not allowed to advertise outside the market they're registered in.;Government-controlled media labeling.;TikTok Ad Policies
2;Market Specific Requirements for Ad Approval;"As an advertiser on TikTok, you are responsible for your ads. This means complying with all applicable laws, rules and regulations (including any advertising codes) that apply to the targeted regions. In some jurisdictions, such as Nigeria, advertisements must be approved prior to publication by the regulatory authority or submitted to the regulatory authority for notification or registration within a certain time period after publication. We may list out the local advertising regulatory requirements that we are aware of for your reference, in addition to the TikTok Advertising Policies that apply to all of TikTok's paid advertising products. You may want to consult with your legal consultant to obtain the most updated local regulation requirements.
The Advertising Regulatory Council of Nigeria Act 2022 (the ""ARCON Act"") imposes a general obligation on advertisers and agencies to obtain prior approval of the Advertising Standards Panel (""ASP"") before publishing any advertisement targeting the Nigerian market. No matter if the advertiser or agency resides in Nigeria or not, before publishing any ad campaign targeting Nigeria, the advertiser or agency has the legal obligation to apply for and obtain a Certificate of Approval granted by ASP, signed by the Director General of the Advertising Regulatory Council, certifying approval of all advertising content (including words and numbers (spoken or written), visual representations, music and sound effects) to be published via ad placement on TikTOk platforms. According to the ARCON Act, the penalty for failing to comply with this pre-approval requirement will be administrative fines. Individuals and entities who breach this requirement may also be liable to any person who has suffered loss as a result of the breach, and such person has the right to commence legal proceedings against the individuals and entities for compensation.
If you want to learn more about the ARCON Act, you may visit the website of the Advertising Regulatory Council of Nigeria for more information:https://advertcouncil.gov.ng/index.php";Compliance with TikTok advertising regulations in Nigeria.;TikTok Ad Policies
3;Data Collection Standards;"At TikTok, we prioritize user privacy and provide guidelines to ensure that data collection processes are conducted responsibly and securely, fostering trust and compliance. This article outlines the essential rules and practices advertisers must follow when collecting data from consumers.
Advertisers must adhere to relevant data standards for collecting and distributing user data.
Advertisers must clearly disclose any data collection, sharing, and usage that takes place on their Landing Page through the use of a privacy policy.
Advertisers are not allowed to distribute malicious software that may harm or gain unauthorized access to a computer, device, or network.
Advertisers are not allowed to distribute undisclosed or unwanted software.
Advertisers are not allowed to distribute unwanted or undisclosed software that collects or transmits user information without user knowledge.
Advertisers are not allowed to distribute unwanted software that is difficult to remove.";TikTok's advertiser data privacy guidelines.;TikTok Ad Policies
4;Tiktok Ads Policy Financial Services;"At TikTok, our aim is to provide our users with the necessary details to allow them to make well-informed financial choices. Our policies prioritize equipping users with the information they need to evaluate financial products and services, while also protecting them from any deceptive or harmful practices.
This policy requires enhanced transparency from you, as an advertiser, that promotes financial products and services, such as banking, insurance, trusts, securities, and leases that deal with financial commodities, financing, payments, investments, information exchange, or debt relief.
Generally, the following requirements must be met, but may depend on your delivery market (see theMarket-specific requirementssection for additional guidance):
Comply with relevant local laws and regulations
Be licensed by local and regional authorities
Include proper disclaimers where applicable
The ad must be restricted to audiences aged 18 years and older
Examples of what is not allowed:
Get-rich-quick offers
Pyramid schemes
Too-good-to-be-true financial offers
In the following markets, Promote is the only form of paid ads that is allowed:
Note:Promote is the only form of paid ads allowed in this market.";TikTok financial ad transparency policy.;TikTok Ad Policies
5;Branded Content Policy Country Specific Requirements;"In addition to the Branded Content restrictions outlined in ourglobal Branded Content Policy, including our global prohibition on political content, we recommend that you comply with the additional restrictions applicable to specific markets below. Otherwise, we may be required to prevent the content from being accessed in the relevant markets.
Our Branded Content and TikTok Ads policies differ. Content which is prohibited in Branded Content may still be allowed in TikTok Ads. If you would like to promote your content in TikTok Ads, we recommend understanding and complying with ourTikTok Advertising Policies.
Infant food - Infant food, including milk powder, dietary supplements, etc.
Cosmetic clinics and cosmetic surgery.
Cosmetics making medicinal claims.
Note:
Energy drinks are allowed (subject to HFSS restrictions) but will be restricted to an users aged 18 years and older.
Credit cards, traditional loans, debit cards, and bank accounts are allowed with explicit permission of TikTok and will be restricted to users aged 18 years and older.
Branded Content must not promote or reinforce negative or unhealthy body images and must not exploit insecurities to conform to certain beauty ideals or standards.  Branded Content must not contain insulting, offensive, or distasteful messaging which could make users feel negative about the way they look, and must not suggest that you must look a certain way, that there's a perfect way to look, or that if you look a certain way you will be more desirable, successful, happy or popular for that reason.
Branded Content must not promote an unhealthy relationship with food or exercise.
The following are prohibited:
Non-alcoholic drinks from alcohol brands.
Food supplements and vitamins - Vitamins, powders, shakes, gummies claim to have vitamin or health benefits, etc.
Weight loss products or services including but not limited to:Ingestible products claiming to burn fat or help to lose or gain weight are prohibited (e.g. fat burning pills, appetite suppressants, weight loss, detox teas, or lollipops)Weight loss or management fasting products or such services.Waist trainers, face and body sculpting products.Weight loss injections or surgery.
Weight loss products or services including but not limited to:
Ingestible products claiming to burn fat or help to lose or gain weight are prohibited (e.g. fat burning pills, appetite suppressants, weight loss, detox teas, or lollipops)
Weight loss or management fasting products or such services.
Waist trainers, face and body sculpting products.
Weight loss injections or surgery.
Baby food - Infant formula, dietary supplements for babies, etc.
Real estate.
Psychological consulting services.
Cosmetology services - Plastic surgeries, tattoo services, or laser hair removal services in professional places, etc.
Dangerous toys - Toys that may result in severe harm to personal safety, such as laser pens, etc.
Employment services.
Offline entertainment events - Real life music events, etc.
Energy drinks are allowed, but will be restricted to users aged 18 years and older.
Branded Content promoting movies, TV shows, and games: Age rating of the movie, TV show, or game must appear in the content.
Food or beverages.
Skincare products and cosmetics - Including perfumes, teeth whitening kits, hair coloring or perming products, hair removal products, tanning products, etc.
The following products and services are prohibited as Branded Content on TikTok. Some of the following products and services may be allowed with targeting restrictions for regular paid ads. Find TikTok's regular paid ads policies here:TikTok Advertising Policies:
Alcohol - Including but not limited to alcoholic beverages (wine, beer, spirits, etc.), alcohol clubs, subscription services, alcohol-making kits, and alcohol-sponsored events. This includes alcohol-free or non-alcohol alternatives and soft drinks presented as mixers for alcohol.
Contraceptive products and services - Condoms are not allowed to be advertised in Branded Content in addition to any products, services, artificial methods, or other techniques - medical or non-medical - to prevent or terminate pregnancies, including abortion-related services.
Cosmetic clinics and medical institutions - Including but not limited to cosmetic clinics and medical institutions, including dental surgeries, opticians, cosmetic surgeries, nutritionists, general practitioner services, online pharmacies, and telehealth providers.
Financial services - Including but not limited to credit building or repair services, buy now pay later services, investment, trading, cryptocurrency, NFTs, and multi-level marketing and pyramid schemes.Exception: Credit cards, traditional loans, debit cards, bank accounts, and tax and budgeting services are allowed with explicit permission of TikTok and will be restricted to users aged 18 years and older.
Financial services - Including but not limited to credit building or repair services, buy now pay later services, investment, trading, cryptocurrency, NFTs, and multi-level marketing and pyramid schemes.
Exception: Credit cards, traditional loans, debit cards, bank accounts, and tax and budgeting services are allowed with explicit permission of TikTok and will be restricted to users aged 18 years and older.
Food supplements and vitamins - Including but not limited to vitamins, powders, shakes, after-workout/protein powders, or gummies claiming to have vitamin content or health benefits.
Pharmaceutical and healthcare products - Including but not limited to any pharmaceutical product claiming health benefits, over-the-counter medicines, prescription drugs, medical devices, vitamins, powders, shakes or gummies claiming to have vitamin content or health benefits.Exception: Beauty products - Topical beauty products for beauty, haircare, skincare, and personal care that do not make any medical claims.
Pharmaceutical and healthcare products - Including but not limited to any pharmaceutical product claiming health benefits, over-the-counter medicines, prescription drugs, medical devices, vitamins, powders, shakes or gummies claiming to have vitamin content or health benefits.
Exception: Beauty products - Topical beauty products for beauty, haircare, skincare, and personal care that do not make any medical claims.
Shapewear - Including but not limited to products made of elasticated material that give the illusion of a smoother outline underwear-like corsets and micro-thongs.
Sweepstakes and giveaways.
Professional services - Including but not limited to accounting services, legal services, and immigration services.Exception: Taxation services that assist with filing government taxes are allowed.
Professional services - Including but not limited to accounting services, legal services, and immigration services.
Exception: Taxation services that assist with filing government taxes are allowed.
Underwear is allowed as Branded Content in North America, but will be restricted to users aged 18 years and older.
Films, TV shows and games are allowed as Branded Content in North America, but will be restricted to users aged 18 years and older no matter the age rating.
Products or services designed for minors, including but not limited to toys, children's clothing, diapers, baby products, infant food, tutoring services, summer camps, etc. are allowed, but will be restricted to an 18+ audience.
Branded Content promoting products or services designed for minors should not speak to or exhort directly to minors, nor should it appear overly childish in an attempt to appeal to minors.
Branded Content must not promote or reinforce negative or unhealthy body images and must not exploit insecurities to conform to certain beauty ideals or standards. Branded Content must not contain insulting, offensive, or distasteful messaging which could make users feel negative about the way they look, and must not suggest that you must look a certain way, that there's a perfect way to look, or that if you look a certain way you will be more desirable, successful, happy or popular for that reason.
Alcohol - Including but not limited to alcoholic beverages (wine, beer, spirits, etc.), alcohol clubs or subscription services, alcohol-making kits, and alcohol-sponsored events. This includes alcohol-free or non-alcohol alternatives and soft drinks presented as mixers for alcohol.
Cosmetic clinics and medical institutions - cosmetic clinics and medical institutions, including dental surgeries, opticians, cosmetic surgeries, nutritionists, general practitioner services, online pharmacies, and telehealth providers.
Financial services - Including but not limited to loans, buy now pay later services, investment, trading, cryptocurrency, NFTs, debit cards, credit cards, bank accounts, insurance, tax services, budgeting services, and multi-level marketing and pyramid schemes.
Food supplements and vitamins - Including but not limited to vitamins, powders, shakes, after-workout or protein powders, etc., gummies claiming to have vitamin content or health benefits.
Weight loss products or services including but not limited to:Ingestible products claiming to burn fat or help to lose or gain weight such as fat burning pills, appetite suppressants, weight loss, detox teas, lollipopsWeight loss or management fasting products or such services are prohibited.Waist trainers, face and body sculpting products are prohibited.Weight loss injections or surgery are prohibited.
Ingestible products claiming to burn fat or help to lose or gain weight such as fat burning pills, appetite suppressants, weight loss, detox teas, lollipops
Weight loss or management fasting products or such services are prohibited.
Waist trainers, face and body sculpting products are prohibited.
Weight loss injections or surgery are prohibited.
Products or services designed for minors, including but not limited to toys, children's clothing, diapers, baby products, infant food, tutoring services, summer camps, etc. are allowed, but will be restricted to users aged 18 years and older.
The following are prohibited in Branded Content for METAP:
Infant food - Infant food, including but not limited to milk powder, dietary supplements, etc.
Food & Drinks - Content promoting food must respect and adapt to local culture and religious restrictions.
Food supplements and vitamins - Vitamins, powders, shakes, gummies claiming to have vitamin or health benefits.
Cosmetic clinics and medical institutions - Cosmetic clinics and medical institutions, including dental surgeries, opticians, allowed cosmetic treatments, nutritionists, GP services.
Underwear is allowed as Branded Content in METAP, but will be restricted to users aged 18 years and older.
Films, TV shows and Games are allowed as Branded Content in METAP but will be restricted to users aged 18 years and older no matter the age rating.
The below Creative Guidelines apply to Branded Content in METAP:
Cosmetic clinics and medical institutions - Cosmetic clinics and medical institutions, including dental surgeries, opticians, cosmetic surgeries, nutritionists, GP services.
Weight loss products or services - Weight loss or management supplements (including fat burning pills, appetite suppressants, weight loss, detox teas, or lollipops) and fasting services and products.
Real Estate - Real estate services and investment franchise services.
Underwear product with model fitting.
Religious content.
Medical institutions - Medical institutions including dental surgeries, opticians, cosmetic surgeries, nutritionists, GP services.
Age-rated films, TV shows and games - Films, TV shows and games which are rated as only suitable for persons aged 18 years and older.
Financial services - Credit cards, traditional loans, debit cards, and bank accounts are allowed with explicit permission of TikTok and will be restricted to use aged 18 years and older.
Medical institutions, Pharmaceuticals, Healthcare - Ads related to venereal diseases, psychiatry, genitals, breast augmentation, hormones.
Weight loss products or services-including but not limited to weight loss clinics, weight loss or management supplements (including fat burning pills, appetite suppressants, weight loss, detox teas and fasting services and products).
Food supplements and vitamins - Including but not limited to vitamins, powders, shakes, after-workout or protein powders, etc.Products comply with Japanese medical law, Pharmaceutical and Medical Device Act, Act against Unjustifiable Premiums and Misleading Presentations, and various industry guidelines.
Food supplements and vitamins - Including but not limited to vitamins, powders, shakes, after-workout or protein powders, etc.
Products comply with Japanese medical law, Pharmaceutical and Medical Device Act, Act against Unjustifiable Premiums and Misleading Presentations, and various industry guidelines.
Financial services - Including but not limited to loans, credit building or repair services, buy now pay later services, investment, trading, cryptocurrency, NFTs, and multi-level marketing and pyramid schemes.Credit cards, debit cards, and bank accounts are allowed with explicit permission of TikTok and will be restricted to use aged 18 years and older.
Financial services - Including but not limited to loans, credit building or repair services, buy now pay later services, investment, trading, cryptocurrency, NFTs, and multi-level marketing and pyramid schemes.
Credit cards, debit cards, and bank accounts are allowed with explicit permission of TikTok and will be restricted to use aged 18 years and older.
Overseas medical institutions, various financial and real estate services.
Gambling - all gambling products and services, including but not limited to, casinos, sportsbetting, sweepstakes, gambling branding, any content from gambling brands or sponsored by gambling brands.
Professional services - Including but not limited to accounting services, legal services, and immigration services
Religious content
Nightclubs and Brothels- any services that are related to adult entertainment
Sexually oriented adult works (not allowed for minors under 18 years of age) - TV, movies, videos, and games designated as 18 years of age or older and containing adult (sex business) content.
Weight loss products or services - Weight loss, or management supplements (including fat burning pills, appetite suppressants, weight loss, detox teas or lollipops) and fasting services and products.
Pork products.
Weight loss products or services - Weight loss or management supplements (including fat burning pills, appetite suppressants, weight loss, detox teas, or lollipops) and weight loss services like weight loss surgery.
Food supplements and vitamins - Including but not limited to vitamins, powders, shakes, gummies, tablets that claim to have vitamin or health benefits for persons aged 18+ years and older.
Cosmetic clinics and medical institutions - Cosmetic clinics and medical institutions, including dental surgeries, opticians, cosmetic surgeries, nutritionists, GP services for persons aged 18+ years and older.
Energy Drinks.
Food supplements and vitamins - Including but not limited to vitamins, powders, shakes, gummies, tablets that claim to have vitamin or health benefits.
Any other forms of contraceptives or pills.
Raw food or beverages.
Sale of gold piece.
Mimicking gambling.
Weight loss products or services- Weight loss or management supplements (including fat burning pills, appetite suppressants, weight loss, detox teas, or lollipops) and weight loss services like weight loss surgery.
Alcohol - including but not limited to alcohol beverages, alcohol branding, any content from alcohol brands or sponsored by alcohol brands and alcohol-free or no-alcohol drinks from alcohol brands.
Cosmetic clinics and medical institutions - Including but not limited to dental surgeries, opticians, cosmetic surgeries, nutritionists, psychological consulting services, general practitioner services, online pharmacies, and telehealth providers.
Financial services - including but not limited to debit cards, credit cards, bank accounts, insurance, cryptocurrency, forex trading, buy now pay later, and loans.
Professional Services - Accounting and taxation services.
Adoption and surrogacy services.
Infant food - Including but not limited to milk powder, dietary supplements, etc.
Pharmaceuticals, Healthcare, and Medicine products - Clinical trial recruitment, veterinary medicines, etc.
Therapeutic goods - Vitamins and healthcare supplements, sunscreens, medical devices, etc.
Media and Entertainment - Films, TV shows, and games.
Charities.
Contraceptive products and services - condoms are not allowed to be advertised in addition to any products, services, artificial methods, or other techniques - medical or non-medical - to prevent or terminate pregnancies, including abortion-related services.
Energy drinks are allowed, but will be restricted to an 18+ audience.
Skincare products and cosmetics - Including permanent makeup products, etc.
Pharmaceuticals, Healthcare, and Medicine products - clinical trial recruitment, veterinary medicines, medical devices, etc.
Energy drinks are allowed, but will be restricted to user aged 18 years and older.";TikTok Branded Content Restrictions Overview;TikTok Ad Policies
6;Tiktok Ads Policy Deceptive Practices;"Our policies prohibit behaviors that are misleading, inauthentic, and deceptive in order to protect the integrity, authenticity, and safety of our users and our platform. Accounts that engage in these behaviors or exhibit patterns of abuse may be suspended or banned.
We do not allow products and services that might expose, steal, or infringe upon individual privacy. We also prohibit any unlawful activities, such as circumventing access restrictions, identity theft, document falsification, and making deceptive claims.
The following are examples of what is not allowed:
The promotion, sale, solicitation, or facilitation of access to products or services that might be or are considered deceptive, misleading, or unlawful, such as:
Unlawfully circumventing technical or other access restrictions to infringe upon intellectual or other property rights
Identity theft or the stealing of any personal information, including through the use of malware, spyware, or any unauthorized or unlawful means of obtaining information
Document falsification, forgery, or counterfeiting
Making deceptive claims, omitting information on fees, charges, and tariffs, or proposing harmful business models
Unwarranted claims or misinformation, including pricing, discount, or promotion information inconsistency
Missing terms and conditions or privacy policy pages
We do not allow the promotion of deceptive, false, or misleading claims about a product or service, setting unrealistic expectations regarding a product or service's effectiveness or characteristics, offering products, services, schemes, or deals at unreasonably low prices compared to the market average to scam individuals out of money or personal data, or distributing a high volume of identical or similar content across one or multiple accounts.
A lack of information on how a product or service can deliver financial outcomes
Misleading ads with no mention of risk
Flaunting or showing off money
Exaggerated financial claims such as:Ambiguous claims on how to get rich with no information as to howExaggerated financial gain from participation in schemes or games, including from government benefitsGuarantees of winning
Exaggerated financial claims such as:
Ambiguous claims on how to get rich with no information as to how
Exaggerated financial gain from participation in schemes or games, including from government benefits
Guarantees of winning
In some cases, the following may be allowed:
Informative ads about how to benefit from public benefits without the promise of high financial gains
Ads that give no guarantee of winning";Prohibition of deceptive, misleading behaviors.;TikTok Ad Policies
7;Tiktok Ads Policy Violence And Dangerous Activities;"At TikTok, we welcome our community to participate in fun and creative trends. Most activities or challenges are appropriate for everyone and bring people together, but some may carry a risk of injury. Because we aim to ensure a safe and enjoyable experience for everyone, we restrict behaviors and content that may be harmful and do not allow the promotion of dangerous activities and challenges for our users.
We do not allow the display or promotion of dangerous activities and challenges or violence. This may include dares, games, tricks, inappropriate use of dangerous tools, eating substances that are harmful to one's health, or similar activities that may lead to significant physical harm.
Examples of what is not allowed:
The display of bloody or gruesome imagery or graphic images that are likely to shock or scare users, such as crime scenes, images of accidents, or horrific or bloody scenes
Imagery that may cause an uncomfortable user experience such as visuals of sexual fluids, human, or animal waste, visuals that show dirt coming out of pores of the face, or hair being pulled out of drainage
The display of crime, excessive violence, cruelty, or violence towards animals, such as real fighting with bloody scenes, or animal cruelty, such as cock fighting or dog fighting
Depictions of non-consensual touching, non-consensual sexual acts, and sexual violence
Content that may incite fear or panic, which may cause harm to users
Phrases such as ""You may be in danger"" or ""Virus detected, remove it now""
Display of extreme parkour, defined as involving significant height or risk
Potentially inappropriate use of dangerous tools, vehicles, or objects
The depiction or promotion of ingesting substances that are not meant for consumption or could lead to severe harm
Games, dares, or stunts that might lead to injury
Depiction of dangerous or illegal behaviors
Behavior that can be easily copied that may lead to physical harm to an individual or to the public
Encouragement of users to engage in potentially harmful behavior such as messages like ""Now it's your turn""
In some cases, the following may be allowed:
The depiction of potentially dangerous behaviors in films, games, and cartoons
Behavior that demonstrates a safety message in an educational context.
Note:These policies are not intended to capture safely depicted extreme sports or clearly professional stunts. Ads may be rejected if the professional nature or sporting context of these exceptions are not clear, or if safety measures are ambiguous. If approved depictions of stunts or extreme sports are easy for people to copy, the ad must be restricted to users aged 18 years and older, and a warning message similar to ""Do not try this at home"" may be required for approval.
Example of what is not allowed:
Content that features dangerous, harmful, or violent acts
We do not condone violence, and TikTok should not be used as a platform to advocate for war. Ads should not promote, glorify, or advocate for war.
The display of real war scenes
Language or imagery that explicitly promotes, glorifies, or advocates for war, violence, or armed conflict
Ads that profit from ongoing wars
Attempts to tone down or minimize wartime aggression and atrocities
Note:Advocating for stopping wars and armed conflict, and raising awareness of war victims, may be allowed as long as the ad content does not violate our ad policies, including depictions of real war scenes.
We do not allow anyone to promote or provide material support to violent or hateful advertisers on our platform. Visit our Community Guidelines to read more aboutViolent and Hateful Organizations and Individuals.
Providing material support to violent political organizations or promoting violence caused by them
Promoting, such as praising, celebrating, or sharing manifestos, or providing material support to:Hateful organizationsIndividuals who cause serial or mass violence, or promote hateful ideologiesViolent criminal organizationsViolent extremists
Promoting, such as praising, celebrating, or sharing manifestos, or providing material support to:
Hateful organizations
Individuals who cause serial or mass violence, or promote hateful ideologies
Violent criminal organizations
Violent extremists";Prohibition of harmful and violent content.;TikTok Ad Policies
8;Tiktok Ads Policy Dangerous Products Or Services;"Our policies aim to prevent the promotion or advertisement of products that could either cause or imply violence or bodily harm. These policies are critical to maintaining a safe environment and a secure user experience on our platform.
We do not allow ad content and landing pages to display or promote the use of dangerous weapons, ammunitions, explosives in real life, or other objects that may cause harm to individuals.
The following are examples of what is not allowed:
Blades, knives, or any such sharp objects
Explosives, flammables, or combustibles, including bombs and bomb-making supplies, flamethrowers, fireworks, or any other similar substances or devices
Guns, gun parts, and ammunition including paintball guns, and BB guns
Batons, nunchucks, taser guns, pepper spray, or self-defense weaponry
In some cases, the following may be allowed:
Toys, water guns, toys that do not look like real weapons
Depictions of weapons in TV dramas, films, and cartoon scenes
Depictions of weapons within video games
Knives* used as utility tools, such as box cutters or pocket knives
Knives* unrestricted by regulations, such as pencil sharpeners and culinary knives
*For knives, ads must target users aged 18 years and older in the following countries:
We do not allow ad content and landing pages to display, promote, sell, solicit, or provide access to police or military gear and equipment.
Police or military uniforms, vests, handcuffs, batons, boots, or any such accessories, equipment, or supplies
Products designed with police or military elements that have been specifically authorized for police or military use
Products and devices designed for general use without special modification for police and military use, such as body cameras or body-worn videos
We do not allow ad content and landing pages to show, promote, or sell tobacco, nicotine, or related products.
The following are examples of tobacco and smoking-related products that are not allowed:
Cigarettes, cigars, tobacco or nicotine, and related products, e-cigarettes, vape pens or vape oils and cartridges, or any other alternative to smoking or consumption of tobacco and nicotine.
Smoking paraphernalia, such as smoking pipes, rolling papers, filters, vaporizers,nicotine pouches, or any other device, equipment, smoking simulants, or apparatus designed for smoking or consumption of tobacco and nicotine.
Smoking paraphernalia, such as smoking pipes, rolling papers, filters, vaporizers,
nicotine pouches, or any other device, equipment, smoking simulants, or apparatus designed for smoking or consumption of tobacco and nicotine.
Promoting site, venue, or facility for smoking or consumption of tobacco and nicotine, such as cigar bars, hookah lounges, or any other setting for similar purposes.
Anti-smoking campaigns
Non-pharmaceutical products or non-medical services that assist in quitting smoking or ending tobacco and nicotine use
Products that are designed or promoted without the use of tobacco or nicotine, such as lighters without mention of tobacco or smoking, may be allowed with age restrictions
Infused products with fragrances, such as perfumes, candles, room sprays, or body lotion
Depiction of smoking in TV dramas, films, games, and cartoon scenes
We do not allow ad content and landing pages to display, promote, sell, solicit, or provide access to illegal drugs, controlled drugs, prescription drug abuse, recreational drugs, drug paraphernalia, accessories, supplies, or their use.
Illegal drugs, controlled drugs, prescription drugs, and drugs for the purpose of recreation, homeopathy, enhancement, performance, and weight loss
Drug paraphernalia, accessories, or supplies
Unauthorized drugstores, pharmacies, or dispensaries
Depiction of drug use, drug abuse, or prescription drug abuse
Depiction of drug-related words, symbols, or images in visuals, audio, or any other form
For prescription drugs, the following requirements must be met in select countries*:
Be approved by the regional regulating authority
Do not include misleading or inaccurate claims
Target users 18 years and older";Violence and harm prevention policies.;TikTok Ad Policies
9;Tiktok Ads Policy Animals And Environment;"We want our platform to be a place that respects animals and celebrates the ways that they enrich our lives across different cultures and regions. We do not allow animal abuse, cruelty, neglect, trade, or other forms of animal exploitation. Our policy on animals, animal parts, or animal product content complies with legal standards and aims to create a secure and responsible environment for all our users.
We do not allow the promotion, sale, solicitation, or facilitation of access to live animals, livestock, pets, carcasses, or animal parts.
Examples of what may be allowed:
Products for animals such as toys, clothes, collars, cages, or food
Pet services such as dog walking, pet care, pet cafes, pet grooming, or training
Advertising content related to the adoption of animals is only permitted for non-governmental organizations (NGOs), nonprofit organizations (NPOs), and animal shelters. However, we do not allow the adoption of pedigree or purebred pets or the cross-breeding of pets
Examples of what is not allowed:
Animals, animal body parts, or products derived from:Live animalsAnimals listed as endangered, vulnerable, or threatened
Animals, animal body parts, or products derived from:
Live animals
Animals listed as endangered, vulnerable, or threatened
Animal products or parts derived from:Horns, bones, teeth, and tusksSkin, fur, feathers, hair, scales and finsOffals, fats, and fluids
Animal products or parts derived from:
Horns, bones, teeth, and tusks
Skin, fur, feathers, hair, scales and fins
Offals, fats, and fluids
Sale or adoption of rare, protected plants and animal species
Pet products related to animal abuse such as shock collars and ultrasonic repellers";Animal-friendly content policy overview.;TikTok Ad Policies
10;Tiktok Ads Policy Gambling And Games;"We prioritize audience safety by regulating gambling and related activities. Our regulations aim to ensure a secure and positive environment for all our community.
Online gambling and gaming service ads may be allowed if the following requirements are met:
Obtain written permission from us.
Provide evidence that the gambling activities are appropriately licensed by a regulator, or otherwise established as lawful in the delivery market.
Only deliver in approved markets.
Do not deliver ads or appeal to young people.";Regulating safe, licensed gambling advertisements.;TikTok Ad Policies
