Unnamed: 0,A,CH,CR,J,LAW,LTD,PINC,TER,USE,document,document_ID,label,text,TER_targets,LTD_targets,A_targets,CH_targets,CR_targets
16203,0,0,0,0,0,0,0,0,0,TikTok,82,0,"if you are a user having your usual residence in germany , instead of the below this eula exclusively shall apply .",,,,,
16204,0,0,0,0,0,0,0,0,0,TikTok,82,0,"welcome to tiktok -lrb- the `` platform '' -rrb- , which is provided by musical.ly , inc. , with registered office at 1920 olympic blvd , santa monica , ca 90404 , usa , or one of our affiliates that may be specified in the supplemental terms -- jurisdiction-specific below to the extent you access the services from a specific jurisdiction -lrb- collectively such entities will be referred to as `` bytedance '' , `` we '' or `` us '' -rrb- .",,,,,
16205,0,0,0,0,0,0,0,0,0,TikTok,82,0,"you are reading the terms of service -lrb- the `` terms '' -rrb- , which govern the relationship and serve as an agreement between you and us and set forth the terms and conditions by which you may access and use the platform and our related websites , services , applications , products and content -lrb- collectively , the `` services '' -rrb- .",,,,,
16206,0,0,0,0,0,0,0,0,0,TikTok,82,0,"our services are provided for private , non-commercial use .",,,,,
16207,0,0,0,0,0,0,0,0,0,TikTok,82,0,"for purposes of these terms , `` you '' and `` your '' means you as the user of the services .",,,,,
16208,0,0,0,0,0,0,0,0,0,TikTok,82,0,the terms form a legally binding agreement between you and us .,,,,,
16209,0,0,0,0,0,0,0,0,0,TikTok,82,0,please take the time to read them carefully .,,,,,
16210,0,0,0,0,0,0,0,0,1,TikTok,82,1,"by accessing or using our services , you confirm that you can form a binding contract with bytedance , that you accept these terms and that you agree to comply with them .",,,,,
16211,0,0,0,0,0,0,0,0,0,TikTok,82,0,"your access to and use of our services is also subject to our privacy policy and community policy , the terms of which can be found directly on the platform , or where the platform is made available for download , on your mobile device 's applicable app store , and are incorporated herein by reference .",,,,,
16212,0,0,0,0,0,0,0,0,1,TikTok,82,1,"if you access or use the services from within a jurisdiction for which there are separate supplemental terms , you also hereby agree to the supplemental terms applicable to users in each jurisdiction as outlined below , and in the event of a conflict between the provisions of the supplemental terms -- jurisdiction-specific that are relevant to your jurisdiction from which you access or use the services , and the rest of these terms , the relevant jurisdictions ' supplemental terms -- jurisdiction-specific will supersede and control .",,,,,
16213,0,0,0,0,0,0,0,0,1,TikTok,82,1,"if you do not agree to these terms , you must not access or use our services .",,,,,
16214,0,0,0,0,0,0,0,0,0,TikTok,82,0,"if you are accessing or using the services on behalf of a business or entity , then -lrb- a -rrb- `` you '' and `` your '' includes you and that business or entity , -lrb- b -rrb- you represent and warrant that you are an authorized representative of the business or entity with the authority to bind the entity to these terms , and that you agree to these terms on the entity 's behalf , and -lrb- c -rrb- your business or entity is legally and financially responsible for your access or use of the services as well as for the access or use of your account by others affiliated with your entity , including any employees , agents or contractors .",,,,,
16215,0,0,0,0,0,0,0,0,1,TikTok,82,1,you can accept the terms by accessing or using our services .,,,,,
16216,0,0,0,0,0,0,0,0,1,TikTok,82,1,you understand and agree that we will treat your access or use of the services as acceptance of the terms from that point onwards .,,,,,
16217,0,0,0,0,0,0,0,0,0,TikTok,82,0,you should print off or save a local copy of the terms for your records .,,,,,
16218,0,1,0,0,0,0,0,0,0,TikTok,82,1,"we amend these terms from time to time , for instance when we update the functionality of our services , when we combine multiple apps or services operated by us or our affiliates into a single combined service or app , or when there are regulatory changes .",,,,"[6, 5]",
16219,0,1,0,0,0,0,0,0,0,TikTok,82,1,"we will use commercially reasonable efforts to provide reasonable notice to all users of any material changes to these terms , such as through a notice on our platform , however , you should look at the terms regularly to check for such changes .",,,,"[3, 2]",
16220,0,1,0,0,0,0,0,0,0,TikTok,82,1,"we will also update the `` last updated '' date at the top of these terms , which reflect the effective date of such terms .",,,,"[3, 2]",
16221,0,0,0,0,0,0,0,0,1,TikTok,82,1,your continued access or use of the services after the date of the new terms constitutes your acceptance of the new terms .,,,,,
16222,0,0,0,0,0,0,0,0,1,TikTok,82,1,"if you do not agree to the new terms , you must stop accessing or using the services .",,,,,
16223,0,0,0,0,0,0,0,0,0,TikTok,82,0,"to access or use some of our services , you must create an account with us .",,,,,
16224,0,0,0,0,0,0,0,0,0,TikTok,82,0,"when you create this account , you must provide accurate and up-to-date information .",,,,,
16225,0,0,0,0,0,0,0,0,0,TikTok,82,0,"it is important that you maintain and promptly update your details and any other information you provide to us , to keep such information current and complete .",,,,,
16226,0,0,0,0,0,0,0,0,0,TikTok,82,0,it is important that you keep your account password confidential and that you do not disclose it to any third party .,,,,,
16227,0,0,0,0,0,0,0,0,0,TikTok,82,0,"if you know or suspect that any third party knows your password or has accessed your account , you must promptly notify us at feedback@tiktok.com .",,,,,
16228,0,0,0,0,0,0,0,0,0,TikTok,82,0,you agree that you are solely responsible -lrb- to us and to others -rrb- for the activity that occurs under your account .,,,,,
16229,0,0,0,0,0,0,0,1,0,TikTok,82,1,"we reserve the right to disable your user account at any time , including if in our reasonable opinion you have failed to comply with any of the provisions of these terms , or if activities occur on your account which , in our sole discretion , would or might cause damage to or impair the services or infringe or violate any third party rights , or violate any applicable laws or regulations .","[1, 0]",,,,
16230,0,0,0,0,0,0,0,0,0,TikTok,82,0,"if you no longer want to use our services again , and would like your account deleted , we can take care of this for you .",,,,,
16231,0,0,0,0,0,0,0,0,0,TikTok,82,0,"please contact us via feedback@tiktok.com , and we will provide you with further assistance and guide you through the process .",,,,,
16232,0,0,0,0,0,0,0,0,0,TikTok,82,0,"please be minded that once you choose to delete your account , you will not be able to reactivate your account or retrieve any of the content or information you have added .",,,,,
16233,0,0,0,0,0,0,0,0,0,TikTok,82,0,your access to and use of the services is subject to these terms and all applicable laws and regulations .,,,,,
16234,0,0,0,0,0,0,0,0,0,TikTok,82,0,access or use the services if you are not over 13 or otherwise able to agree to these terms ;,,,,,
16235,0,0,0,0,0,0,0,0,0,TikTok,82,0,"to the greatest extent permitted under applicable law , make unauthorised copies , modify , adapt , translate , reverse engineer , disassemble , decompile or create any derivative works based on the services , including any files , tables or documentation -lrb- or any portion thereof -rrb- or determine or attempt to determine any source code , algorithms , methods or techniques embodied the platform or any derivative works thereof ;",,,,,
16236,0,0,0,0,0,0,0,0,0,TikTok,82,0,"distribute , license , transfer , or sell , in whole or in part , any of the services or any derivative works thereof ;",,,,,
16237,0,0,0,0,0,0,0,0,0,TikTok,82,0,"market , rent or lease the services for a fee or charge , or use the platform to advertise or perform any commercial solicitation ; use the services , without our express written consent , for any commercial or unauthorized purpose , including communicating or facilitating any commercial advertisement or solicitation or spamming ;",,,,,
16238,0,0,0,0,0,0,0,0,0,TikTok,82,0,"interfere with or attempt to interfere with the proper working of the services , disrupt our website or any networks connected to the services , or bypass any measures we may use to prevent or restrict access to the services ;",,,,,
16239,0,0,0,0,0,0,0,0,0,TikTok,82,0,incorporate the platform or any portion thereof into any other program or product .,,,,,
16240,0,0,0,0,0,0,0,1,0,TikTok,82,1,"in such case , we reserve the right to refuse service , terminate accounts or limit access to the services in our sole discretion ;",[9],,,,
16241,0,0,0,0,0,0,0,0,0,TikTok,82,0,use automated scripts to collect information from or otherwise interact with the services ;,,,,,
16242,0,0,0,0,0,0,0,0,0,TikTok,82,0,"impersonate any person or entity , or falsely state or otherwise misrepresent you or your affiliation with any person or entity , including giving the impression that any content you upload , post , transmit , distribute or otherwise make available emanates from the services ;",,,,,
16243,0,0,0,0,0,0,0,0,0,TikTok,82,0,"intimidate or harass another , or promote sexually explicit material , violence or discrimination based on race , sex , religion , nationality , disability , sexual orientation or age ;",,,,,
16244,0,0,0,0,0,0,0,0,0,TikTok,82,0,"use or attempt to use another 's account , service or system without authorisation from bytedance , or create a false identity on the services ;",,,,,
